pipeline,model,sex,mean_mae,std_mae,n_features,n_samples,n_subjects,successful_folds,n_train_samples_per_fold,best_params
freesurfer8001ants243,baseline,M,22.127201676896252,0.49530887988385763,0,1325,700,5,1060.0,N/A
freesurfer8001ants243,baseline,F,17.95217647553365,0.8727626658179608,0,2555,1217,5,2044.0,N/A
freesurfer8001ants243,elasticnet,M,17.253313769130724,0.512937984793207,111,1325,700,5,1060.0,N/A
freesurfer8001ants243,elasticnet,F,15.50062837582288,0.4981100657745912,111,2555,1217,5,2044.0,N/A
freesurfer8001ants243,kneighbors,M,13.135952847645706,0.6278799964572604,111,1325,700,5,1060.0,N/A
freesurfer8001ants243,kneighbors,F,11.131127095795744,0.32669942442177813,111,2555,1217,5,2044.0,N/A
freesurfer8001ants243,histgradientboosting,M,6.706281042374572,1.5855774085776673,111,1325,700,5,1060.0,N/A
freesurfer8001ants243,histgradientboosting,F,6.932955746541232,0.36558574243504693,111,2555,1217,5,2044.0,N/A
freesurfer8001ants243,extratrees,M,8.03192368159117,1.715672072418805,111,1325,700,5,1060.0,N/A
freesurfer8001ants243,extratrees,F,7.610916080845,0.38039239278123327,111,2555,1217,5,2044.0,N/A
freesurfer8001ants243,svm,M,12.352602776451556,1.0227812251482329,111,1325,700,5,1060.0,N/A
freesurfer8001ants243,svm,F,10.572854358780404,0.4427928368538762,111,2555,1217,5,2044.0,N/A
freesurfer741ants243,baseline,M,22.127201676896252,0.49530887988385763,0,1325,700,5,1060.0,N/A
freesurfer741ants243,baseline,F,17.95217647553365,0.8727626658179608,0,2555,1217,5,2044.0,N/A
freesurfer741ants243,elasticnet,M,17.844842864644026,0.6852450957987661,120,1325,700,5,1060.0,N/A
freesurfer741ants243,elasticnet,F,15.785162576219264,0.5493510200497503,120,2555,1217,5,2044.0,N/A
freesurfer741ants243,kneighbors,M,12.569911605888834,0.2893801861085685,120,1325,700,5,1060.0,N/A
freesurfer741ants243,kneighbors,F,11.332516236110717,0.2009295125475242,120,2555,1217,5,2044.0,N/A
freesurfer741ants243,histgradientboosting,M,9.435353327442419,0.36415034691292975,120,1325,700,5,1060.0,N/A
freesurfer741ants243,histgradientboosting,F,8.739507322141847,0.47734058999988227,120,2555,1217,5,2044.0,N/A
freesurfer741ants243,extratrees,M,11.67357040086481,0.6664814216923525,120,1325,700,5,1060.0,N/A
freesurfer741ants243,extratrees,F,10.183052992412307,0.45523946585551156,120,2555,1217,5,2044.0,N/A
freesurfer741ants243,svm,M,13.322143088222848,0.9700200691375012,120,1325,700,5,1060.0,N/A
freesurfer741ants243,svm,F,11.064318592943888,0.3479110954499729,120,2555,1217,5,2044.0,N/A
samseg8001ants243,baseline,M,22.127201676896252,0.49530887988385763,0,1325,700,5,1060.0,N/A
samseg8001ants243,baseline,F,17.95217647553365,0.8727626658179608,0,2555,1217,5,2044.0,N/A
samseg8001ants243,elasticnet,M,17.03863954969005,0.6693829117212753,108,1325,700,5,1060.0,N/A
samseg8001ants243,elasticnet,F,15.063170726812075,0.3680432493597183,108,2555,1217,5,2044.0,N/A
samseg8001ants243,kneighbors,M,13.856357409554544,1.0067871032062696,108,1325,700,5,1060.0,N/A
samseg8001ants243,kneighbors,F,11.942869105220746,0.27795723538503486,108,2555,1217,5,2044.0,N/A
